0,0.9929,1.01117,0.996444,1.00557
0.01,0.994255,1.01063,0.997123,1.0053
0.02,1.00446,1.01015,1.00223,1.00506
0.03,1.00805,1.00973,1.00402,1.00485
0.04,1.00997,1.00952,1.00497,1.00475
0.05,1.01193,1.00913,1.00595,1.00455
0.06,1.01473,1.00883,1.00734,1.00441
0.07,1.01787,1.00847,1.0089,1.00423
0.08,1.02211,1.00796,1.011,1.00397
0.09,1.02191,1.0076,1.01089,1.00379
0.1,1.02592,1.00745,1.01288,1.00372
0.11,1.03157,1.00707,1.01566,1.00353
0.12,1.03229,1.00691,1.01602,1.00345
0.13,1.0326,1.00655,1.01617,1.00327
0.14,1.02696,1.00625,1.01339,1.00312
0.15,1.02891,1.00601,1.01435,1.003
0.16,1.03819,1.00552,1.01892,1.00276
0.17,1.04461,1.00496,1.02206,1.00248
0.18,1.04646,1.00466,1.02297,1.00233
0.19,1.0509,1.00418,1.02513,1.00209
0.2,1.05409,1.00401,1.02669,1.002
0.21,1.05826,1.00345,1.02872,1.00172
0.22,1.05752,1.00312,1.02836,1.00156
0.23,1.06398,1.00283,1.0315,1.00141
0.24,1.06149,1.00245,1.03028,1.00123
0.25,1.06685,1.0022,1.03288,1.0011
0.26,1.06602,1.00187,1.03248,1.00093
0.27,1.07438,1.00162,1.03652,1.00081
0.28,1.07873,1.00111,1.03862,1.00055
0.29,1.07821,1.00072,1.03837,1.00036
0.3,1.07838,1.00044,1.03845,1.00022
0.31,1.07943,1,1.03896,1
0.32,1.07532,0.999399,1.03698,0.999699
0.33,1.07935,0.999201,1.03892,0.9996
0.34,1.07923,0.998878,1.03886,0.999439
0.35,1.0772,0.998863,1.03788,0.999431
0.36,1.08648,0.998924,1.04234,0.999462
0.37,1.0906,0.998956,1.04432,0.999478
0.38,1.09423,0.998781,1.04605,0.99939
0.39,1.09778,0.99863,1.04775,0.999315
0.4,1.10167,0.998295,1.04961,0.999147
0.41,1.09761,0.997991,1.04767,0.998995
0.42,1.09729,0.997795,1.04751,0.998897
0.43,1.10339,0.997586,1.05042,0.998792
0.44,1.10316,0.997458,1.05031,0.998728
0.45,1.10581,0.997359,1.05158,0.998679
0.46,1.1072,0.997299,1.05224,0.998649
0.47,1.10632,0.997101,1.05182,0.998549
0.48,1.1063,0.996751,1.05181,0.998374
0.49,1.11153,0.996883,1.05429,0.99844
0.5,1.11275,0.996553,1.05487,0.998275
0.51,1.11483,0.996278,1.05586,0.998137
0.52,1.11992,0.995914,1.05826,0.997955
0.53,1.12269,0.995958,1.05957,0.997977
0.54,1.12568,0.996282,1.06098,0.998139
0.55,1.1264,0.996126,1.06132,0.998061
0.56,1.13344,0.995924,1.06463,0.99796
0.57,1.13365,0.995673,1.06473,0.997834
0.58,1.14183,0.995794,1.06856,0.997895
0.59,1.15162,0.995643,1.07314,0.997819
0.6,1.15844,0.99548,1.07631,0.997738
0.61,1.16353,0.995393,1.07867,0.997694
0.62,1.17147,0.995674,1.08234,0.997835
0.63,1.17665,0.99567,1.08473,0.997832
0.64,1.17497,0.995909,1.08396,0.997952
